Year,Town,"TANF cases, Rate (per 1000)","TANF cases, Number","Total estimated households, Number","Food stamps cases, Rate (per 1000)","Food stamps cases, Number","Total estimated households, Number"
2000,Danbury,11.88,323,27183,44.37,1206,27183
2000,Darien,0.3,2,6592,3.03,20,6592
2000,Deep River,3.84,7,1824,17.54,32,1824
2000,Derby,16.95,89,5252,58.26,306,5252
2000,Durham,4.83,11,2277,6.59,15,2277
2000,East Granby,3.25,6,1848,12.45,23,1848
2000,East Haddam,4.73,15,3174,12.6,40,3174
2000,East Hampton,4.6,19,4126,16.24,67,4126
2000,East Hartford,34.59,699,20206,86.76,1753,20206
2000,East Haven,16.94,190,11219,54.28,609,11219
2000,East Lyme,3.49,22,6308,12.84,81,6308
2000,East Windsor,5.89,24,4078,24.28,99,4078
2000,Eastford,1.62,1,618,16.18,10,618
2000,Easton,0,0,2465,1.62,4,2465
2000,Ellington,3.08,16,5195,12.13,63,5195
2000,Enfield,11.21,184,16418,26.68,438,16418
2000,Essex,2.13,6,2811,9.61,27,2811
2000,Fairfield,2.75,56,20397,9.27,189,20397
2000,Farmington,2.63,25,9496,16.32,155,9496
2000,Franklin,4.37,3,687,8.73,6,687
2000,Glastonbury,2.77,34,12257,11.34,139,12257
2000,Goshen,3.75,4,1066,14.07,15,1066
2000,Granby,0.79,3,3781,6.61,25,3781
2000,Greenwich,2.07,48,23230,9.08,211,23230
2000,Griswold,10.73,45,4194,39.1,164,4194
2000,Groton,15.45,239,15473,39.23,607,15473
2000,Guilford,2.94,24,8151,10.43,85,8151
2000,Haddam,3.33,9,2701,8.15,22,2701
2000,Hamden,13.97,313,22408,36.33,814,22408
2000,Hampton,5.93,4,674,8.9,6,674
2000,Hartford,115.01,5174,44986,348.6,15682,44986
2000,Hartland,0,0,707,4.24,3,707
2000,Harwinton,2.55,5,1958,6.13,12,1958
2000,Hebron,1.34,4,2993,6.01,18,2993
2000,Kent,0.87,1,1143,10.5,12,1143
2000,Killingly,27.36,174,6359,88.38,562,6359
2000,Killingworth,2.28,5,2196,5.92,13,2196
2000,Lebanon,4.5,11,2446,13.9,34,2446
2000,Ledyard,4.73,25,5286,15.13,80,5286
2000,Lisbon,7.87,12,1525,21.64,33,1525
2000,Litchfield,2.72,9,3310,11.18,37,3310
2000,Lyme,0,0,854,4.68,4,854
2000,Madison,1.53,10,6515,7.21,47,6515
2000,Manchester,15.99,371,23197,48.33,1121,23197
2000,Mansfield,5.1,27,5291,25.52,135,5291
2000,Marlborough,1,2,2005,9.98,20,2005
2000,Meriden,38.04,873,22951,108.71,2495,22951
2000,Middlebury,4.17,10,2398,10.01,24,2398
2000,Middlefield,3.04,5,1645,10.33,17,1645
2000,Middletown,18.06,335,18554,57.35,1064,18554
2000,Milford,7.18,150,20900,25.6,535,20900
2000,Monroe,1.7,11,6481,6.17,40,6481
2000,Montville,10.27,66,6426,24.28,156,6426
2000,Morris,5.48,5,912,10.96,10,912
2000,Naugatuck,14.12,167,11829,41.25,488,11829
2000,New Britain,55.19,1576,28558,140.84,4022,28558
2000,New Canaan,0.44,3,6822,3.66,25,6822
2000,New Fairfield,3.23,15,4638,6.9,32,4638
2000,New Hartford,1.8,4,2228,6.73,15,2228
2000,New Haven,92.07,4336,47094,236.93,11158,47094
2000,New London,48.62,495,10181,143.4,1460,10181
2000,New Milford,5.39,54,10018,19.96,200,10018
2000,Newington,4.33,52,12014,15.9,191,12014
2000,Newtown,1.44,12,8325,17.18,143,8325
2000,Norfolk,7.4,5,676,13.31,9,676
2000,North Branford,5.46,28,5132,12.86,66,5132
2000,North Canaan,11.17,15,1343,24.57,33,1343
2000,North Haven,5.7,49,8597,16.05,138,8597
2000,North Stonington,4.91,9,1833,13.09,24,1833
2000,Norwalk,18.1,592,32711,50.29,1645,32711
2000,Norwich,28.49,430,15091,96.95,1463,15091
2000,Old Lyme,2.37,7,2958,8.11,24,2958
2000,Old Saybrook,3.82,16,4184,8.84,37,4184
2000,Orange,2.11,10,4739,8.23,39,4739
2000,Oxford,2.99,10,3343,10.17,34,3343
2000,Plainfield,19.65,107,5444,54.92,299,5444
2000,Plainville,8.26,61,7385,27.76,205,7385
2000,Plymouth,9.21,41,4453,27.62,123,4453
2000,Pomfret,4.19,6,1433,12.56,18,1433
2000,Portland,7.97,27,3388,25.68,87,3388
2000,Preston,4.9,9,1837,14.15,26,1837
2000,Prospect,3.31,10,3020,7.95,24,3020
2000,Putnam,26.88,99,3683,80.37,296,3683
2000,Redding,0.34,1,2918,2.06,6,2918
2000,Ridgefield,0.71,6,8433,3.68,31,8433
2000,Rocky Hill,3.44,26,7557,12.84,97,7557
2000,Roxbury,0,0,848,3.54,3,848
2000,Salem,2.95,4,1358,9.57,13,1358
2000,Salisbury,2.88,5,1737,9.21,16,1737
2000,Scotland,1.81,1,553,9.04,5,553
2000,Seymour,9.91,61,6155,30.06,185,6155
2000,Sharon,1.61,2,1246,5.62,7,1246
2000,Shelton,5.78,82,14190,18.11,257,14190
2000,Sherman,2.09,3,1434,5.58,8,1434
2000,Simsbury,0.82,7,8527,5.16,44,8527
2000,Somers,4.44,13,2925,10.94,32,2925
2000,South Windsor,2.92,26,8905,9.21,82,8905
2000,Southbury,1.94,14,7225,5.12,37,7225
2000,Southington,5.5,83,15083,19.16,289,15083
2000,Sprague,17.1,19,1111,38.7,43,1111
2000,Stafford,11.72,51,4353,32.39,141,4353
2000,Stamford,12.67,575,45399,40.51,1839,45399
2000,Sterling,13.44,15,1116,25.09,28,1116
2000,Stonington,8.74,67,7665,27.66,212,7665
2000,Stratford,10.91,217,19898,27.54,548,19898
2000,Suffield,3.43,16,4660,12.66,59,4660
2000,Thomaston,5.14,15,2916,18.18,53,2916
2000,Thompson,7.75,27,3482,32.45,113,3482
2000,Tolland,2.4,11,4586,4.8,22,4586
2000,Torrington,14.18,209,14743,46.26,682,14743
2000,Trumbull,2.18,26,11911,8.73,104,11911
2000,Union,0,0,285,7.02,2,285
2000,Vernon,16.71,205,12269,44.75,549,12269
2000,Voluntown,7.35,7,952,30.46,29,952
2000,Wallingford,7.01,117,16697,22.52,376,16697
2000,Warren,2.01,1,497,2.01,1,497
2000,Washington,2.82,4,1416,8.47,12,1416
2000,Waterbury,49.08,2092,42622,140.89,6005,42622
2000,Waterford,4.91,37,7542,14.58,110,7542
2000,Watertown,5.34,43,8046,16.53,133,8046
2000,West Hartford,7.53,185,24576,36.74,903,24576
2000,West Haven,31.01,654,21090,83.5,1761,21090
2000,Westbrook,4.22,11,2605,31.09,81,2605
2000,Weston,0.91,3,3312,2.42,8,3312
2000,Westport,1.46,14,9586,6.78,65,9586
2000,Wethersfield,4.19,47,11214,21.76,244,11214
2000,Willington,3.82,9,2353,11.47,27,2353
2000,Wilton,0.84,5,5923,0.84,5,5923
2000,Winchester,15.1,66,4371,50.79,222,4371
2000,Windham,46.27,386,8342,164.47,1372,8342
2000,Windsor,13.33,141,10577,34.51,365,10577
2000,Windsor Locks,8.51,42,4935,25.33,125,4935
2000,Wolcott,6.1,33,5414,13.3,72,5414
2000,Woodbridge,2.58,8,3103,9.35,29,3103
2000,Woodbury,1.08,4,3715,6.73,25,3715
2000,Woodstock,3.63,10,2754,9.44,26,2754
2001,Andover,2.59,3,1159,9.49,11,1159
2001,Ansonia,26.24,197,7507,76.86,577,7507
2001,Ashford,8.17,13,1592,20.73,33,1592
2001,Avon,0.48,3,6274,3.67,23,6274
2001,Barkhamsted,2.97,4,1346,5.94,8,1346
2001,Beacon Falls,5.33,11,2065,14.04,29,2065
2001,Berlin,2.32,16,6894,10.3,71,6894
2001,Bethany,2.25,4,1777,6.19,11,1777
2001,Bethel,2.75,18,6548,12.68,83,6548
2001,Bethlehem,3.17,4,1263,10.3,13,1263
2001,Bloomfield,18.7,149,7967,43.68,348,7967
